Alpha 3 Code,Year,Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),Mean NBE (TgCO2),Mean NCE (TgCO2),Mean FUR
BWA,2015,-0.935893,0.464459,0.965393,0.289618,7.00706,0.548464,0.43,-7.049835300000001,-7.020335299999999,-0.013287499999999897,0.38
BWA,2016,-0.921149,0.493949,0.965393,0.289618,7.2056,0.640306,-0.61,-57.189375,-57.145175,-49.939575,0.38
BWA,2017,-0.981473,0.373301,0.965393,0.289618,7.48488,0.713632,-1.81,-205.34275000000002,-205.358775,-197.87380000000002,0.38
BWA,2018,-0.954435,0.427377,0.965393,0.289618,7.70061,0.713632,-0.34,-16.1388375,-16.1279075,-8.427285000000001,0.38
BWA,2019,-0.956629,0.422988,0.965393,0.289618,7.89115,0.548464,0.93,-11.028785,-11.0200175,-3.1288550000000006,0.38
BWA,2020,-0.949916,0.436415,0.965393,0.289618,7.24685,0.548464,-1.3,-114.7325,-114.71712500000001,-107.47015,0.38
BWA,mean,-0.949916,0.436415,0.965393,0.289618,7.42269,0.618827,-0.72,-55.524775000000005,-55.509325000000004,-48.086625,0.38
CAF,2015,-8.70179,2.9003,0.105003,0.0315009,0.477828,0.0296267,0.45,53.8735,45.276602499999996,45.75451,0.4624999999999999
CAF,2016,-9.45834,1.38719,0.105003,0.0315009,0.496825,0.029997,0.27,387.15250000000003,377.79900000000004,378.29575,0.4624999999999999
CAF,2017,-9.20766,1.88854,0.105003,0.0315009,0.515683,0.029997,0.97,210.27984999999998,201.177425,201.69285,0.4624999999999999
CAF,2018,-9.64934,1.0052,0.105003,0.0315009,0.526579,0.029997,0.84,117.22382499999999,107.679675,108.205975,0.4624999999999999
CAF,2019,-9.63699,1.02989,0.105003,0.0315009,0.53489,0.0296267,0.8,160.106975,150.574975,151.10945,0.4624999999999999
CAF,2020,-9.33083,1.64222,0.105003,0.0315009,0.395428,0.0296267,0.19,87.66777499999999,78.442125,78.8376,0.4624999999999999
CAF,mean,-9.33083,1.64222,0.105003,0.0315009,0.491206,0.0298118,0.94,187.24875,178.02302500000002,178.514075,0.4624999999999999
